No,PU1,PU2,PU3,PU4,PU5,PEOU1,PEOU2,PEOU3,PEOU4,AT1,AT2,AT3,AT4,CITU1,CITU2,CITU3,AU1,AU2,AU3,LT1,LT2,LT3,LT4,LT5,CO1,CO2,CO3,PS1,PS2,PS3,CT1,CT2,CT3,DB1,DB2,DB3,GSE1,GSE2,GSE3,GSE4,GSE5,GSE6,GSE7,GSE8
1,5,5,5,4,5,4,4,4,4,5,5,5,5,5,5,5,2,4,4,,,,,,,,,,,,,,,,,,4,4,5,5,5,4,5,4
2,4,3,3,5,5,4,4,3,4,5,5,5,5,4,3,3,2,4,4,,,,,,,,,,,,,,,,,,4,4,5,4,4,3,4,3
3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,5,3
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,3,3,3,3,4,4,4,4
5,3,3,3,5,5,2,2,2,2,3,3,3,3,3,3,3,1,5,1,,,,,,,,,,,,,,,,,,5,5,1,5,5,5,5,1
6,2,2,2,4,4,3,2,2,3,5,4,4,3,3,3,2,2,4,3,,,,,,,,,,,,,,,,,,2,1,3,3,4,5,5,3
7,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,4,4,5,,,,,,,,,,,,,,,,,,4,3,4,4,5,5,5,4
8,4,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,3,4,5,,,,,,,,,,,,,,,,,,4,4,3,4,4,3,4,3
9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,,,,,,,,,,,,,,,,,,5,1,5,5,5,5,5,3
10,3,4,3,5,5,4,3,3,4,4,5,5,5,5,5,5,4,4,4,,,,,,,,,,,,,,,,,,3,3,3,2,4,3,3,3
11,4,4,4,5,5,5,5,3,4,4,3,3,3,3,4,4,3,4,3,,,,,,,,,,,,,,,,,,3,5,5,5,5,5,5,5
12,4,4,4,4,4,3,3,2,4,5,5,5,5,5,4,5,4,4,4,,,,,,,,,,,,,,,,,,5,3,4,5,4,5,5,2
13,5,5,5,5,5,4,3,3,4,5,5,5,5,5,5,5,3,5,5,,,,,,,,,,,,,,,,,,3,2,3,4,4,5,5,2
14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,3,2,4,3,5,5,5,3
15,3,3,3,4,3,3,3,3,3,4,4,4,5,4,4,4,3,4,4,,,,,,,,,,,,,,,,,,3,3,4,4,4,4,5,4
16,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5
17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4
18,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5
19,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5
20,4,4,4,4,4,3,3,3,3,5,5,5,5,4,4,4,2,2,2,,,,,,,,,,,,,,,,,,2,3,3,3,4,5,4,3
21,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5
22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3
23,3,5,4,5,5,3,3,2,2,5,5,5,5,5,5,5,3,1,5,,,,,,,,,,,,,,,,,,3,2,3,4,5,5,5,1
24,3,5,4,5,5,3,3,2,2,5,5,5,5,5,5,5,3,1,5,,,,,,,,,,,,,,,,,,3,2,3,4,5,5,5,1
25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4
26,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,5,3,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3
27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,5,3,5,5,5,5,5,5
28,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,3,3,,,,,,,,,,,,,,,,,,3,3,3,3,4,4,3,3
29,3,2,3,3,2,2,3,3,2,4,3,3,2,2,2,1,2,3,1,,,,,,,,,,,,,,,,,,2,3,4,2,2,2,1,2
30,4,4,4,5,5,5,4,4,4,5,5,5,5,5,5,5,4,2,5,,,,,,,,,,,,,,,,,,5,5,4,4,5,4,4,4
31,3,3,3,4,3,3,2,2,3,3,3,4,3,4,3,3,2,3,3,,,,,,,,,,,,,,,,,,2,2,2,3,4,3,3,3
32,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,2,4,3,,,,,,,,,,,,,,,,,,2,2,3,3,3,3,3,2
33,3,3,4,4,3,4,4,3,4,4,3,4,4,3,3,3,4,4,4,,,,,,,,,,,,,,,,,,3,3,4,3,3,3,4,4
34,5,5,5,3,5,5,3,3,3,4,4,4,3,4,3,5,4,4,4,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4
35,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5
36,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,3,4,3,,,,,,,,,,,,,,,,,,3,3,4,4,4,5,5,4
37,5,5,5,5,5,5,3,2,2,4,3,4,4,4,4,4,3,4,3,,,,,,,,,,,,,,,,,,4,3,3,3,3,3,3,3
38,1,2,2,3,3,1,1,1,1,3,5,5,3,3,3,3,1,4,3,,,,,,,,,,,,,,,,,,1,1,2,3,3,5,2,1
39,5,5,5,5,5,4,5,5,4,5,5,5,4,5,4,4,4,4,3,,,,,,,,,,,,,,,,,,4,4,4,4,5,4,4,4
40,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,4,4,5,,,,,,,,,,,,,,,,,,3,2,3,3,4,5,5,3
41,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5,5,3,5,5,,,,,,,,,,,,,,,,,,2,1,3,3,5,5,5,3
42,3,3,3,3,3,2,2,2,2,3,5,5,4,4,4,4,1,5,3,,,,,,,,,,,,,,,,,,2,3,4,4,5,5,5,5
43,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,1,3,2,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,5,5
44,3,3,4,5,4,3,2,2,3,3,4,3,3,2,2,2,2,5,4,,,,,,,,,,,,,,,,,,3,2,1,2,4,4,5,2
45,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,2,3,4,,,,,,,,,,,,,,,,,,2,5,3,4,4,4,4,3
46,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5
47,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,3,3,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3
48,2,2,2,3,2,2,2,2,2,3,3,3,3,2,2,2,1,3,1,,,,,,,,,,,,,,,,,,4,4,3,2,4,3,2,2
49,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,4,4,5,3,3,3,3,4
50,4,4,4,5,5,4,4,3,3,4,4,4,4,4,4,4,3,4,4,,,,,,,,,,,,,,,,,,3,3,4,4,5,3,4,3
